"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2017","24.70","24.70","24.70","24.70","","0.00%"
"10/25/2017","24.70","24.70","24.70","24.70","","-0.40%"
"10/24/2017","24.80","24.80","24.80","24.80","","-0.20%"
"10/23/2017","24.85","24.85","24.85","24.85","","0.61%"
"10/20/2017","24.70","24.70","24.70","24.70","","0.20%"
"10/19/2017","24.65","24.65","24.65","24.65","","0.20%"
"10/18/2017","24.60","24.60","24.60","24.60","","-1.40%"
"10/17/2017","24.95","24.95","24.95","24.95","","0.40%"
"10/16/2017","24.85","24.85","24.85","24.85","","-0.68%"
"10/13/2017","25.02","25.02","25.02","25.02","","1.09%"
"10/12/2017","24.75","24.75","24.75","24.75","","0.41%"
"10/11/2017","24.65","24.65","24.65","24.65","","0.41%"
"10/10/2017","24.55","24.55","24.55","24.55","","0.61%"
"10/09/2017","24.40","24.40","24.40","24.40","","-0.20%"
"10/06/2017","24.45","24.45","24.45","24.45","","0.20%"
"10/05/2017","24.40","24.40","24.40","24.40","","0.41%"
"10/04/2017","24.30","24.30","24.30","24.30","","1.25%"
"10/03/2017","24.00","24.00","24.00","24.00","","0.00%"
"10/02/2017","24.00","24.00","24.00","24.00","","3.27%"
"09/29/2017","23.24","23.24","23.24","23.24","","-1.94%"
"09/28/2017","23.70","23.70","23.70","23.70","","-0.84%"
"09/27/2017","23.90","23.90","23.90","23.90","","2.14%"
"09/26/2017","23.40","23.40","23.40","23.40","","-1.06%"
"09/25/2017","23.65","23.65","23.65","23.65","","0.42%"
"09/22/2017","23.55","23.55","23.55","23.55","","0.43%"
"09/21/2017","23.45","23.45","23.45","23.45","","-0.64%"
"09/20/2017","23.60","23.60","23.60","23.60","","0.43%"
"09/19/2017","23.50","23.50","23.50","23.50","","-0.42%"
"09/18/2017","23.60","23.60","23.60","23.60","","0.85%"
"09/15/2017","23.40","23.40","23.40","23.40","","-0.43%"
"09/14/2017","23.50","23.50","23.50","23.50","","-0.63%"
"09/13/2017","23.65","23.65","23.65","23.65","","0.42%"
"09/12/2017","23.55","23.55","23.55","23.55","","1.29%"
"09/11/2017","23.25","23.25","23.25","23.25","","-0.43%"
"09/08/2017","23.35","23.35","23.35","23.35","","-0.21%"
"09/07/2017","23.40","23.40","23.40","23.40","","0.43%"
"09/06/2017","23.30","23.30","23.30","23.30","","0.43%"
"09/05/2017","23.20","23.20","23.20","23.20","","-0.85%"
"09/01/2017","23.40","23.40","23.40","23.40","","5.36%"
"08/31/2017","22.21","22.21","22.21","22.21","","-0.63%"
"08/30/2017","22.35","22.35","22.35","22.35","","-0.89%"
"08/29/2017","22.55","22.55","22.55","22.55","","0.22%"
"08/28/2017","22.50","22.50","22.50","22.50","","-0.66%"
"08/25/2017","22.65","22.65","22.65","22.65","","-0.22%"
"08/24/2017","22.70","22.70","22.70","22.70","","0.44%"
"08/23/2017","22.60","22.60","22.60","22.60","","0.00%"
"08/22/2017","22.60","22.60","22.60","22.60","","0.00%"
"08/21/2017","22.60","22.60","22.60","22.60","","0.89%"
"08/18/2017","22.40","22.40","22.40","22.40","","-0.22%"
"08/17/2017","22.45","22.45","22.45","22.45","","0.45%"
"08/16/2017","22.35","22.35","22.35","22.35","","-0.22%"
"08/15/2017","22.40","22.40","22.40","22.40","","0.22%"
"08/14/2017","22.35","22.35","22.35","22.35","","-0.45%"
"08/11/2017","22.45","22.45","22.45","22.45","","-0.44%"
"08/10/2017","22.55","22.55","22.55","22.55","","0.45%"
"08/09/2017","22.45","22.45","22.45","22.45","","1.13%"
"08/08/2017","22.20","22.20","22.20","22.20","","-0.22%"
"08/07/2017","22.25","22.25","22.25","22.25","","0.00%"
"08/04/2017","22.25","22.25","22.25","22.25","","-0.89%"
"08/03/2017","22.45","22.45","22.45","22.45","","-0.22%"
"08/02/2017","22.50","22.50","22.50","22.50","","-0.22%"
"08/01/2017","22.55","22.55","22.55","22.55","","-1.27%"
"07/31/2017","22.84","22.84","22.84","22.84","","-2.60%"
"07/28/2017","23.45","23.45","23.45","23.45","","0.43%"
"07/27/2017","23.35","23.35","23.35","23.35","","0.21%"
"07/26/2017","23.30","23.30","23.30","23.30","","-0.85%"
"07/25/2017","23.50","23.50","23.50","23.50","","0.86%"
"07/24/2017","23.30","23.30","23.30","23.30","","-1.27%"
"07/21/2017","23.60","23.60","23.60","23.60","","-0.63%"
"07/20/2017","23.75","23.75","23.75","23.75","","0.42%"
"07/19/2017","23.65","23.65","23.65","23.65","","0.00%"
"07/18/2017","23.65","23.65","23.65","23.65","","0.00%"
"07/17/2017","23.65","23.65","23.65","23.65","","0.42%"
"07/14/2017","23.55","23.55","23.55","23.55","","0.00%"
"07/13/2017","23.55","23.55","23.55","23.55","","-0.21%"
"07/12/2017","23.60","23.60","23.60","23.60","","-1.26%"
"07/11/2017","23.90","23.90","23.90","23.90","","0.42%"
"07/10/2017","23.80","23.80","23.80","23.80","","1.28%"
"07/07/2017","23.50","23.50","23.50","23.50","","-0.21%"
"07/06/2017","23.55","23.55","23.55","23.55","","-0.21%"
"07/05/2017","23.60","23.60","23.60","23.60","","-0.84%"
"07/03/2017","23.80","23.80","23.80","23.80","","-1.33%"
"06/30/2017","24.12","24.12","24.12","24.12","","-0.33%"
"06/29/2017","24.20","24.20","24.20","24.20","","-0.41%"
"06/28/2017","24.30","24.30","24.30","24.30","","0.00%"
"06/27/2017","24.30","24.30","24.30","24.30","","-0.21%"
"06/26/2017","24.35","24.35","24.35","24.35","","0.83%"
"06/23/2017","24.15","24.15","24.15","24.15","","0.00%"
"06/22/2017","24.15","24.15","24.15","24.15","","-0.82%"
"06/21/2017","24.35","24.35","24.35","24.35","10.60K","-0.20%"
"06/20/2017","24.40","24.40","24.40","24.40","","0.62%"
"06/19/2017","24.25","24.25","24.25","24.25","","-1.22%"
"06/16/2017","24.55","24.55","24.55","24.55","","-0.41%"
"06/15/2017","24.65","24.65","24.65","24.65","","1.02%"
"06/14/2017","24.40","24.40","24.40","24.40","","-1.41%"
"06/13/2017","24.75","24.75","24.75","24.75","4.24K","-2.17%"
"06/12/2017","25.30","25.30","25.30","25.30","","-3.80%"
"06/09/2017","26.30","26.30","26.30","26.30","","-0.75%"
"06/08/2017","26.50","26.50","26.50","26.50","","-0.56%"
"06/07/2017","26.65","26.65","26.65","26.65","","-0.93%"
"06/06/2017","26.90","26.90","26.90","26.90","","0.37%"
"06/05/2017","26.80","26.80","26.80","26.80","","-0.74%"
